Si_2019,Concentration,Or13a,Or1a,Or22c,Or24a,Or30a,Or33a,Or35a,Or42a,Or42b,Or45a,Or45b,Or47a-33b,Or49a,Or59a,Or63a,Or67b,Or74a,Or82a,Or83a,Or85c,Or94a-94b
geranyl acetate,1.00E-08,0,0.003408333,0,0.043831667,0,0,0,0,0.028531667,0.056276667,0,0.02495,0,0,0,0,0,0.051708333,0,0,0
geranyl acetate,1.00E-07,0,0.009911667,0,0.13328,0,0,0,0,0.040821667,0.085076667,0,-0.0615,0,0,0,0,0,0.808371667,0,0,0
geranyl acetate,1.00E-06,0,0.012128333,0,0.0928455,0,0,0,0,0.003153333,0.846016667,0,0.189383333,0,0,0,0,0,2.538816667,0,0,0
geranyl acetate,1.00E-05,0,0.094816667,0,0.496583333,0,0,0,0,0.31535,4.063183333,0,1.6902,0,0,0,0,0,2.552083333,0,0,0
geranyl acetate,1.00E-04,0,0.29465,0,1.64765,0,0,0,0,0.74365,3.491883333,0,1.690983333,0,0,0,0,0,2.212516667,0,0,0
anisole,1.00E-08,0,0.025688571,0.025688429,0.060772857,0.059844286,0,0.039557143,0.015857143,0,0.007591429,0.038945714,0.028581429,0,0.021018571,0,0.016394286,0,0,0,0,0.005911429
anisole,1.00E-07,0,0.031317143,0.013902857,0.119126286,0.045195143,0,0.029885714,0.012205714,0,0.028091429,0.033010286,0.044050143,0,0.016387,0,0.007787143,0,0,0,0,0.043571429
anisole,1.00E-06,0,0.038397143,0.032851143,0.257804286,0.380188571,0,0.019842857,0.008184286,0,-0.036705714,0.117961429,0.049358714,0,0.016110214,0,0.013442857,0,0,0,0,-0.051771429
anisole,1.00E-05,0,0.0533,0.840831429,0.500395714,2.396057143,0,0.018885714,0.006772857,0,0.008407143,1.448371429,0.02573,0,0.297114286,0,0.044712857,0,0,0,0,0.311514286
anisole,1.00E-04,0,0.756128571,3.408942857,0.548068571,4.032757143,0,0.387985714,0.022842857,0,0.375855714,4.175642857,0.622457143,0,3.183971429,0,0.7435,0,0,0,0,1.330242857
2-heptanone,1.00E-11,,,,,,,,,,,,,,,,,,,,0.074058518,
2-heptanone,1.00E-10,,,,,,,,,,,,,,,,,,,,0.262879033,
2-heptanone,1.00E-09,,,,,,,,,,,,,,,,,,,,1.953321412,
2-heptanone,1.00E-08,0.14314977,0.011690331,0.059675426,0.03666769,0,0,0.542021452,0.154290237,0,0.166083595,0,0.1091801,0,0,0,0.142136552,0.173365505,-0.011209005,-0.001658376,3.481221672,0
2-heptanone,1.00E-07,0.163274849,0.010887679,0.04563211,0.020006147,0,0,0.576810394,0.138750518,0,0.163892745,0,0.233830698,0,0,0,0.145458799,0.242958302,0.010887014,0.003104645,3.599902118,0
2-heptanone,1.00E-06,0.627469515,0.01052162,0.058596837,0.030833488,0,0,1.530108723,0.332251018,0,0.250272442,0,1.324969616,0,0,0,0.210409355,0.263661329,0.070543521,0.023026667,,0
2-heptanone,1.00E-05,3.051024744,0.013486004,0.10310352,0.067433122,0,0,2.648411804,2.716769336,0,1.067389246,0,3.148119943,0,0,0,1.187364911,0.26255926,0.229409544,0.075532287,,0
2-heptanone,1.00E-04,3.725418891,0.145087426,0.138923169,0.131556947,0,0,2.790455803,3.003710587,0,2.388575226,0,3.595873021,0,0,0,1.787069426,0.654214782,0.552663127,0.225078743,,0
,,,,,,,,,,,,,,,,,,,,,,
Hill parameters,,Or13a,Or1a,Or22c,Or24a,Or30a,Or33a,Or35a,Or42a,Or42b,Or45a,Or45b,Or47a-33b,Or49a,Or59a,Or63a,Or67b,Or74a,Or82a,Or83a,Or85c,Or94a-94b
EC50_geranyl acetate,,0,-4.40902061,0,-4.006400293,0,0,0,0,-4.93519917,-5.818581149,0,-5.87405439,0,0,0,0,0,-6.856392473,0,0,0
EC50_anisole,,0,-4.75933106,-4.456953975,-5.895341808,-5.001139443,0,-4.7497888,0,0,-4.74660133,-4.647488928,-4.73713282,0,-4.148984473,0,-4.77566746,0,0,0,0,-3.71468978
EC50_2-heptanone,,-5.446296153,-4.75907304,-3.31888693,-5.30452371,0,0,-6.099818203,-5.501578226,0,-4.727656685,0,-5.704059104,0,0,0,-5.119311046,-5.78264506,-4.92230206,-4.8457768,-9.045278426,0
Amax_geranyl acetate,,0,0.41993398,0,3.27199324,0,0,0,0,0.75072523,3.78542311,0,1.69059216,0,0,0,0,0,2.44589876,0,0,0
Amax_anisole,,0,0.756128571,4.40999514,0.610099,4.53609268,0,0.387985714,0,0,0.375855714,4.97547506,0.622457143,0,5.13788798,0,0.7435,0,0,0,0,3.64184046
Amax_2-heptanone,,3.81447524,0.145087426,0.31163482,0.131556947,0,0,3.06054154,3.02330613,0,2.97183296,0,3.75672957,0,0,0,1.9912986,0.654214782,0.552663127,0.225078743,3.64954653,0
